,url,political
13,https://abcnews.go.com/Politics/wireStory/coinbase-pay-100m-settlement-new-york-regulators-96184837,False
25,https://abcnews.go.com/Sports/tennis-legend-martina-navratilova-diagnosed-throat-breast-cancer/story?id=96081128,False
36,https://abcnews.go.com/Politics/wireStory/us-sell-taiwan-anti-tank-system-amid-rising-95919003,False
43,https://abcnews.go.com/Sports/wireStory/bucs-gabbert-brothers-rescue-people-tampa-chopper-crash-95990851,False
47,https://abcnews.go.com/US/fbi-posts-reward-after-abortion-related-vandalism-historic/story?id=95941480,False
69,https://abcnews.go.com/US/newport-news-school-shooting-6-year-gun-questions/story?id=96310368,False
17,https://www.msnbc.com/rachel-maddow-show/maddowblog/many-new-gop-committee-chairs-common-rcna65345,False
32,https://www.msnbc.com/rachel-maddow-show/maddowblog/gop-clearly-hasnt-thought-directv-complaints-rcna67844,False
37,https://www.msnbc.com/opinion/msnbc-opinion/chief-justice-john-roberts-report-rcna64023,False
47,https://www.msnbc.com/opinion/msnbc-opinion/brazil-riots-show-trumpism-no-longer-just-americas-problem-rcna64958,False
53,https://www.msnbc.com/rachel-maddow-show/maddowblog/republicans-new-weaponization-committee-matters-rcna65249,False
71,https://www.msnbc.com/opinion/msnbc-opinion/arrest-fbi-agent-linked-russian-oligarch-major-blow-rcna67060,False
96,https://www.msnbc.com/opinion/msnbc-opinion/mccarthys-george-santos-loyalty-shows-trump-still-runs-gop-rcna65722,False
98,https://www.msnbc.com/opinion/msnbc-opinion/gas-stoves-republicans-found-new-dumb-culture-war-rcna65330,False
11,https://www.newsweek.com/mega-millions-drawing-12-27-22-tuesday-jackpot-565-million-1769813,False
12,https://www.newsweek.com/pilot-calls-southwest-chaos-embarrassing-1769749,False
15,https://www.newsweek.com/freezing-storm-transforms-sun-room-indoor-snow-globe-1769755,False
18,https://www.newsweek.com/marjorie-taylor-greene-rips-gabbard-doubles-down-george-santos-defense-1769832,False
22,https://www.newsweek.com/vladimir-putin-alexander-lukashenko-constant-contact-russia-belarus-war-games-ukraine-1769893,False
23,https://www.newsweek.com/woman-avoids-getting-scammed-reddit-1769856,False
24,https://www.newsweek.com/tulsi-gabbard-annihilation-george-santos-receives-unexpected-praise-1769840,False
52,https://www.newsweek.com/kari-lake-new-year-message-mocked-1770713,False
54,https://www.newsweek.com/north-korea-firmly-supporting-ukraine-war-russia-diplomat-andrey-rudenko-un-1770826,False
61,https://www.newsweek.com/man-fatally-shoots-cousins-then-turns-gun-himself-after-argument-1770851,False
74,https://www.newsweek.com/three-found-dead-several-days-home-police-launch-murder-probe-1771146,False
79,https://www.newsweek.com/full-list-republicans-turned-backs-mccarthy-second-day-voting-1771279,False
84,https://www.newsweek.com/political-partisanship-high-one-thing-everyone-agrees-broadband-1771007,False
88,https://www.newsweek.com/2023/01/13/allison-williams-bechdel-dream-that-m3gan-1770985.html,False
90,https://www.newsweek.com/christmas-power-station-attacks-caused-three-million-damage-two-charged-1771152,False
1,https://time.com/6241099/daily-habits-happiness-experts/,False
3,https://time.com/6244677/kevin-mccarthy-speaker-lobbyists/,False
4,https://time.com/6244350/damar-hamlin-football-high-school-chad-stover/,False
21,https://time.com/6245475/bolsonaro-supporters-brazil-storm-congress/,False
71,https://time.com/6249601/oath-keepers-seditious-conspiracy/,False
80,https://time.com/6250060/aging-population-climate-change-japan/,False
83,https://time.com/6249107/minnesota-gambling-scheme-tiktok/,False
85,https://time.com/6249073/border-us-mexico-crossings/,False
96,https://time.com/6243942/global-stories-to-watch-2023/,False
97,https://time.com/6243937/us-may-execute-first-openly-transgender-woman/,False
